id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
561,Intro - Live,Rodney Carrington,comedy,intense,0.676,55.19,0.251,0.451,0.879
562,King of Suede,"""Weird Al"" Yankovic",comedy,energetic,0.808,128.5,0.569,0.78,0.271
563,Instant Messenger,Nick Thune,comedy,energetic,0.685,126.44,0.543,0.428,0.845
564,Professional Rapper (feat. Snoop Dogg),Lil Dicky;Snoop Dogg,comedy,energetic,0.621,128.88,0.537,0.684,0.432
565,The Sound,Matt Braunger,comedy,intense,0.916,83.57,0.303,0.594,0.844
566,Beth,Kyle Kinane,comedy,angry,0.823,138.55,0.251,0.582,0.725
567,Cheaters,Martin Lawrence,comedy,melancholic,0.366,98.58,0.238,0.567,0.602
568,Doctors,Micky Flanagan,comedy,angry,0.841,111.28,0.162,0.514,0.823
569,It's Nice To Meet Ya,Muck Sticky,comedy,focused,0.505,159.99,0.383,0.871,0.0326
570,Taxa,Hva Snakker Du Om?;Anders Matthesen;Bossy Bo,comedy,intense,0.77,91.18,0.368,0.592,0.434
571,God's Country,Blake Shelton,country,angry,0.754,139.99,0.212,0.537,0.0586
572,I Hate Alabama,Conner Smith,country,intense,0.818,171.77,0.392,0.203,0.188
573,Run Run Rudolph,Luke Bryan,country,euphoric,0.972,150.99,0.871,0.611,0.0253
574,I Want It That Way,Music Travel Love;Francis Greg,country,romantic,0.368,200.02,0.621,0.575,0.289
575,The Good Ones,Gabby Barrett,country,focused,0.552,89.96,0.331,0.519,0.18
576,All Around You,Sturgill Simpson,country,focused,0.562,185.72,0.513,0.312,0.123
577,This Christmas,Hunter Hayes,country,happy,0.649,178.11,0.745,0.438,0.179
578,No Body,Blake Shelton,country,euphoric,0.72,103.0,0.892,0.739,0.0379
579,Drunk on Your Love,Brett Eldredge,country,energetic,0.831,182.06,0.586,0.443,0.414
580,Fall in Love,Bailey Zimmerman,country,intense,0.643,135.96,0.397,0.524,0.451
581,I Put A Spell On You,Creedence Clearwater Revival,country,happy,0.732,100.41,0.621,0.393,0.0047
582,You Ain't Here To Kiss Me,Brett Young,country,energetic,0.662,72.79,0.435,0.411,0.0924
583,On The Rocks,Justin Moore,country,focused,0.586,101.01,0.416,0.524,0.375
584,Jolene,Dolly Parton,country,happy,0.537,110.58,0.809,0.674,0.566
585,Amarillo By Morning,George Strait,country,romantic,0.361,121.06,0.621,0.606,0.264
586,Coward Of The County,Kenny Rogers,country,romantic,0.433,91.47,0.675,0.652,0.134
587,Når vi to blir en,Rotlaus,country,euphoric,0.898,87.02,0.737,0.558,0.0096
588,Shut Up,Adam Calhoun;Big Murph,country,intense,0.654,138.01,0.292,0.837,0.0771
589,Heavy Eyes,Zach Bryan,country,happy,0.912,139.67,0.613,0.471,0.032
590,The First Noel,Gabby Barrett,country,melancholic,0.351,79.99,0.102,0.458,0.696
591,I'll Be Home For Christmas - From The Kacey Musgraves Christmas Show,Kacey Musgraves;Lana Del Rey,country,melancholic,0.183,139.59,0.381,0.469,0.829
592,Barefoot Blue Jean Night (The Next Performance),Michael Ray,country,energetic,0.601,172.2,0.464,0.518,0.0069
593,star-crossed,Kacey Musgraves,country,focused,0.441,105.91,0.158,0.378,0.709
594,I'll Be Fine,Koe Wetzel,country,intense,0.644,123.97,0.372,0.663,0.0721
595,Speechless,Dan + Shay,country,focused,0.437,135.94,0.386,0.616,0.351
596,Lay Low,Josh Turner,country,intense,0.679,109.0,0.378,0.634,0.0813
597,An Old Fashioned Love Song - Single Version,Three Dog Night,country,happy,0.555,101.31,0.776,0.456,0.508
598,"I Love You, I Love You",Loretta Lynn,country,chill,0.234,85.27,0.484,0.565,0.723
599,Wanna Be That Song,Brett Eldredge,country,intense,0.686,144.06,0.334,0.518,0.114
600,I Be U Be,High Valley,country,energetic,0.746,126.03,0.415,0.442,0.0074
601,More Than You Know,Axwell /\ Ingrosso,dance,energetic,0.741,123.08,0.571,0.646,0.0275
602,Don't Shoot Me Santa,The Killers;Ryan Pardey,dance,happy,0.847,120.04,0.662,0.588,0.0601
603,My Humps,Black Eyed Peas,dance,energetic,0.682,123.94,0.586,0.802,0.112
604,Power,Little Mix,dance,energetic,0.855,172.97,0.517,0.566,0.0372
605,Wake Me Up,Avicii,dance,happy,0.783,124.08,0.643,0.532,0.0038
606,Illuminati,Madonna,dance,energetic,0.617,134.91,0.418,0.793,0.0464
607,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson;Miley Cyrus,dance,angry,0.794,114.07,0.244,0.601,0.0099
608,Cozy Little Christmas,Katy Perry,dance,energetic,0.608,137.49,0.56,0.775,0.128
609,Starry Eyed,Ellie Goulding,dance,energetic,0.816,149.93,0.588,0.51,0.13
610,Poker Face,Lady Gaga,dance,euphoric,0.818,119.01,0.808,0.851,0.112
611,Don't Shoot Me Santa,The Killers;Ryan Pardey,dance,happy,0.847,120.04,0.662,0.588,0.0601
612,Magenta Riddim,DJ Snake,dance,energetic,0.892,102.05,0.57,0.602,0.0004
613,Loco Contigo,DJ Snake;J Balvin;Tyga,dance,intense,0.757,95.98,0.374,0.827,0.283
614,Just Dance,Lady Gaga;Colby O'Donis,dance,happy,0.74,118.98,0.699,0.813,0.0318
615,Where Are Ü Now (with Justin Bieber),Jack Ü;Skrillex;Diplo;Justin Bieber,dance,angry,0.781,139.43,0.197,0.432,0.041
616,BLUE,Tiësto;Stevie Appleton,dance,euphoric,0.725,118.03,0.902,0.744,0.0179
617,Go Down Deh (feat. Shaggy and Sean Paul),Spice;Shaggy;Sean Paul,dance,energetic,0.8,90.02,0.534,0.817,0.12
618,Poker Face,Lady Gaga,dance,euphoric,0.818,119.01,0.808,0.851,0.112
619,Capital Letters,Hailee Steinfeld;BloodPop®,dance,energetic,0.814,99.96,0.459,0.661,0.0337
620,Beautiful Monster,Ne-Yo,dance,energetic,0.826,127.93,0.494,0.722,0.227
621,Stitches,Shawn Mendes,dance,euphoric,0.74,74.99,0.737,0.736,0.0174
622,Let Me,ZAYN,dance,focused,0.566,168.41,0.189,0.46,0.239
623,Back To You,Selena Gomez,dance,energetic,0.683,102.04,0.494,0.6,0.0984
624,There’s A First Time For Everything,Charlie Puth,dance,happy,0.737,198.0,0.611,0.551,0.466
625,Worth It,Fifth Harmony,dance,happy,0.78,99.98,0.602,0.858,0.0478
626,Pressurelicious,Megan Thee Stallion;Future,dance,happy,0.723,146.97,0.667,0.845,0.0112
627,HISTORY,Becky Hill;Joel Corry,dance,euphoric,0.86,122.97,0.771,0.674,0.155
628,Better Days (NEIKED x Mae Muller x Polo G),NEIKED;Mae Muller;Polo G,dance,happy,0.671,110.05,0.699,0.717,0.0018
629,Call You Mine,The Chainsmokers;Bebe Rexha,dance,energetic,0.696,104.01,0.522,0.585,0.204
630,Snowman,Sia,dance,focused,0.511,104.96,0.324,0.716,0.483
631,Gyal You A Party Animal - Remix,Charly Black;Daddy Yankee,dancehall,euphoric,0.894,101.05,0.757,0.729,0.0612
632,Sugar,Ghetto Boy,dancehall,energetic,0.629,108.85,0.597,0.906,0.178
633,Contra La Pared - GTA Remix,Sean Paul;J Balvin;Good Times Ahead,dancehall,happy,0.863,126.02,0.641,0.829,0.0021
634,Power (Remember Who You Are) - From The Flipper’s Skate Heist Short Film,SPINALL;Äyanna;DJ Snake;Summer Walker,dancehall,angry,0.766,150.68,0.192,0.651,0.005
635,Princesa De La Luna,Shamanes Crew;Maxi Vargas,dancehall,euphoric,0.777,79.91,0.864,0.725,0.0811
636,Klimax - feat. Kaliffa,Medina;Kaliffa,dancehall,euphoric,0.822,108.06,0.816,0.774,0.105
637,Real Life (Mixed),Burna Boy;Stormzy,dancehall,happy,0.592,75.49,0.632,0.437,0.181
638,Earthquake,Sean Paul,dancehall,euphoric,0.88,101.97,0.737,0.618,0.0023
639,Way Too Big,Burna Boy,dancehall,intense,0.7,114.0,0.331,0.787,0.226
640,Vanilla,Burna Boy,dancehall,happy,0.675,100.01,0.719,0.806,0.236
641,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),Popcaan;Drake;PARTYNEXTDOOR,dancehall,happy,0.747,106.25,0.635,0.571,0.478
642,Raid,Intence;Countree Hype,dancehall,energetic,0.617,103.02,0.556,0.953,0.321
643,Bubble Up,Wayne Jarrett,dancehall,focused,0.4,133.04,0.553,0.734,0.0085
644,Baby Boy (feat. Beyoncé ),Sean Paul;Beyoncé,dancehall,happy,0.621,91.27,0.817,0.658,0.0667
645,How We Do It (feat. Pia Mia),Sean Paul;Pia Mia,dancehall,euphoric,0.818,130.66,0.729,0.623,0.143
646,Gum Body (feat. Jorja Smith),Burna Boy;Jorja Smith,dancehall,happy,0.624,97.05,0.755,0.747,0.182
647,No Puedo Creer,Filip Mota,dancehall,euphoric,0.712,89.91,0.743,0.703,0.347
648,ON GOD,Shatta Wale,dancehall,focused,0.542,123.22,0.578,0.64,0.603
649,Like That,IQ,dancehall,intense,0.649,81.08,0.35,0.48,0.08
650,Cake,Juls;Mr Eazi,dancehall,focused,0.514,104.98,0.586,0.889,0.134
651,Kilometre,Burna Boy,dancehall,happy,0.666,103.01,0.648,0.852,0.0158
652,B. D’OR,Burna Boy;Wizkid,dancehall,energetic,0.658,104.03,0.483,0.873,0.0086
653,Ghetto Story,Cham,dancehall,happy,0.589,102.75,0.738,0.656,0.159
654,Juggernaut,Alkaline,dancehall,happy,0.794,101.07,0.674,0.772,0.104
655,King of Parole,Ajebutter22,dancehall,euphoric,0.727,113.01,0.794,0.961,0.0229
656,A Prayer for Change,Apache Indian,dancehall,euphoric,0.892,117.99,0.802,0.882,0.232
657,Victorious,E-Dee,dancehall,happy,0.716,100.04,0.633,0.768,0.135
658,Monsters You Made (feat. Chris Martin),Burna Boy;Chris Martin,dancehall,intense,0.646,142.0,0.355,0.671,0.272
659,Attention,Omah Lay;Justin Bieber,dancehall,intense,0.72,119.99,0.384,0.817,0.172
660,Ingen annan,Kaliffa,dancehall,intense,0.715,119.93,0.381,0.703,0.0488
661,Thank You Budd Dwyer,Fit For An Autopsy,death-metal,angry,0.988,137.45,0.24,0.52,0.0003
662,The Great Stone War,Winds of Plague,death-metal,angry,0.976,130.07,0.137,0.276,0.0
663,New Found,Gojira,death-metal,intense,0.878,105.13,0.314,0.265,0.0001
664,Force Fed,Suffokate,death-metal,intense,0.907,125.03,0.304,0.54,0.0002
665,SOUTHWIND,Gideon,death-metal,angry,0.989,116.0,0.186,0.594,0.0004
666,Demolisher,Slaughter to Prevail,death-metal,angry,0.991,199.87,0.0659,0.209,0.0004
667,"Hidden Species (Vitrification of Blood, Pt. 2)",Blood Incantation,death-metal,angry,0.836,144.37,0.163,0.254,0.0
668,Misery Leech,Ingested,death-metal,angry,0.992,135.0,0.153,0.5,0.0001
669,El Infierno de Dante,Transmetal,death-metal,angry,0.898,76.5,0.214,0.3,0.003
670,Headboomer,Gangrena Gasosa,death-metal,energetic,0.952,138.04,0.557,0.575,0.0089
671,Dragon Chaser,Darko US,death-metal,angry,0.989,89.97,0.176,0.476,0.0013
672,Unholy Masturbation (Bonus Remastered),Goretrade,death-metal,energetic,0.974,153.08,0.467,0.257,0.0
673,Ov Fire and the Void,Behemoth,death-metal,angry,0.973,130.03,0.152,0.471,0.0
674,Time's Edge,Toxic Holocaust,death-metal,intense,0.987,172.04,0.317,0.401,0.0
675,Immanuel (The Challenger),For Today,death-metal,focused,0.584,67.96,0.56,0.331,0.0004
676,Pledge Your Allegiance,Upon A Burning Body,death-metal,angry,0.997,120.03,0.104,0.544,0.0003
677,Only the Strong,Burgerkill,death-metal,angry,0.941,121.89,0.251,0.513,0.0
678,Forza SGE,Tankard,death-metal,energetic,0.809,84.94,0.591,0.497,0.0011
679,Astronomicon,Scar Symmetry,death-metal,angry,0.991,110.02,0.0628,0.469,0.0136
680,Vampire of Dusseldorf,MACABRE,death-metal,energetic,0.982,110.38,0.408,0.336,0.0005
681,Integral,Burgerkill,death-metal,angry,0.968,141.0,0.129,0.466,0.0001
682,For the Glory of...,Testament,death-metal,energetic,0.892,120.05,0.49,0.45,0.0
683,Maha-Kali,Dissection,death-metal,happy,0.836,109.01,0.655,0.569,0.0
684,Stygiophobic,The Black Dahlia Murder,death-metal,angry,0.974,110.0,0.0514,0.454,0.0001
685,Ratamahatta,Sepultura,death-metal,energetic,0.95,112.63,0.411,0.53,0.008
686,Consider Us Dead,Sentenced,death-metal,angry,0.941,138.0,0.245,0.482,0.0001
687,The Satanist,Behemoth,death-metal,intense,0.943,112.08,0.338,0.374,0.0002
688,Vacuity,Gojira,death-metal,intense,0.855,88.05,0.302,0.586,0.0003
689,Los Tengo Colgando (Chingo De Mecos II),Brujeria,death-metal,happy,0.902,103.86,0.67,0.391,0.0001
690,Mentira de Eleição,D.F.C.,death-metal,energetic,0.972,123.04,0.471,0.305,0.0
691,Turn Me On,Black Coffee,deep-house,energetic,0.784,123.01,0.569,0.792,0.0023
692,Bloom,Lucas Estrada;TWOPILOTS,deep-house,angry,0.742,104.99,0.136,0.646,0.0224
693,How Do I Sleep Now,Dallerium;Olive,deep-house,angry,0.759,123.99,0.147,0.74,0.139
694,Eyes Off You (with Arlissa & Kiana Ledé),M-22;Arlissa;Kiana Ledé,deep-house,energetic,0.875,123.89,0.532,0.659,0.0038
695,Safe,Monkey Safari,deep-house,intense,0.748,121.04,0.376,0.609,0.0022
696,Look Into My Eyes - HUGEL & Hugo Cantarra Remix,Brando;HUGEL;Hugo Cantarra,deep-house,angry,0.779,122.98,0.116,0.386,0.0015
697,Come With Me - Radio Mix,Nora En Pure,deep-house,intense,0.758,120.0,0.308,0.677,0.0031
698,Here For You,Gorgon City;Laura Welsh,deep-house,intense,0.678,121.98,0.32,0.655,0.0248
699,To Let Myself Go,The Avener;Ane Brun,deep-house,happy,0.842,118.04,0.601,0.773,0.213
700,Ain't No Sunshine,Deepend;Brendan Mills,deep-house,energetic,0.627,100.03,0.436,0.715,0.168
701,Run Free,Deep Chills;IVIE,deep-house,happy,0.69,100.0,0.699,0.727,0.202
702,Our Broken Mind Embassy,Jan Blomqvist,deep-house,energetic,0.674,122.02,0.458,0.607,0.0006
703,The Key - BK's Slam Remix Edit,Klubfiller;Rob Tissera;Steve Hill;BK,deep-house,intense,0.92,142.0,0.36,0.671,0.0007
704,Bipolar Disorder - Radio Edit,Kaiserdisco,deep-house,angry,0.853,130.0,0.192,0.684,0.0011
705,High On Beat,Jan Blomqvist;Bloom Twins,deep-house,angry,0.825,110.01,0.251,0.709,0.0083
706,Me & U,Caru,deep-house,angry,0.852,122.98,0.238,0.701,0.124
707,"Cheer Up, My Brother",HNNY,deep-house,melancholic,0.263,107.99,0.315,0.761,0.12
708,Hooked,Martin Ikin,deep-house,euphoric,0.998,125.99,0.724,0.747,0.0207
709,Blame,Roman Müller;Matt Wills,deep-house,happy,0.692,95.0,0.659,0.75,0.308
710,I Feel It,Leftwing : Kody,deep-house,euphoric,0.954,125.97,0.887,0.566,0.0041
711,Close To You,Brando,deep-house,happy,0.797,117.0,0.603,0.743,0.282
712,Feels Like Home - Radio Edit,The Him;Son Mieux,deep-house,energetic,0.827,122.06,0.498,0.65,0.0265
713,Talk To Me (feat. Conor Maynard & RANI) - Sam Feldt Edit,MÖWE;Conor Maynard;RANI;Sam Feldt,deep-house,intense,0.788,94.04,0.301,0.6,0.247
714,You & I - Emily Nash Remix,Navos;HARLEE;Emily Nash,deep-house,happy,0.871,123.99,0.648,0.634,0.0296
715,Ferrari - Oliver Heldens Remix,James Hype;Miggy Dela Rosa;Oliver Heldens,deep-house,happy,0.903,124.96,0.694,0.73,0.0081
716,Conjure Dreams,Maceo Plex,deep-house,energetic,0.744,124.01,0.526,0.687,0.0002
717,Arms Around Me,Starley,deep-house,happy,0.684,114.07,0.625,0.702,0.101
718,Everyday - Hex Hector Remix,Kim English,deep-house,happy,0.967,132.0,0.675,0.636,0.0259
719,Ruled the World,Hogland;Jobe,deep-house,angry,0.729,128.0,0.175,0.564,0.0283
720,Most Really Pretty Girls Have Pretty Ugly Feet,HNNY,deep-house,romantic,0.449,119.9,0.612,0.929,0.0862
721,Fiber,Robert Hood,detroit-techno,energetic,0.884,135.38,0.441,0.802,0.0014
722,Less Pain,Omar S,detroit-techno,intense,0.843,123.0,0.356,0.817,0.012
723,Amethyst,Kenny Larkin,detroit-techno,melancholic,0.358,134.04,0.346,0.534,0.459
724,Hypokondriak,Plastikman;Richie Hawtin,detroit-techno,melancholic,0.254,129.71,0.248,0.792,0.64
725,I Got Werk,Moodymann,detroit-techno,euphoric,0.781,118.82,0.875,0.756,0.0502
726,Bond Solid - Mixed,Robert Hood,detroit-techno,angry,0.918,130.54,0.0613,0.597,0.0067
727,Take Me Away - Truncate Remix,DJ 3000;Truncate,detroit-techno,intense,0.653,130.01,0.181,0.716,0.0
728,Praise,Inner City,detroit-techno,energetic,0.649,124.9,0.549,0.584,0.0112
729,When A Thought Becomes You - Original Mix,Blake Baxter,detroit-techno,euphoric,0.807,122.22,0.849,0.712,0.263
730,Velocity Funk,Kevin Saunderson;e-Dancer,detroit-techno,angry,0.966,126.03,0.117,0.582,0.0
731,Equality Of Patience - Short,Theo Parrish;Marcellus Pittman,detroit-techno,euphoric,0.758,107.74,0.89,0.791,0.0022
732,Echo Location,Suburban Knight,detroit-techno,intense,0.615,134.88,0.134,0.734,0.342
733,No Ufo's - Moodymann Remix,Model 500;Moodymann,detroit-techno,energetic,0.826,123.01,0.508,0.852,0.0251
734,Velocity Funk,Kevin Saunderson;e-Dancer,detroit-techno,angry,0.966,126.03,0.117,0.582,0.0
735,Big Fun (Remastered),Inner City,detroit-techno,euphoric,0.931,122.02,0.929,0.673,0.0004
736,Travellers - MRSK Remix,Anthony Shakir,detroit-techno,angry,0.948,129.03,0.191,0.934,0.0247
737,The Final Frontier - Nomadico Remix,Underground Resistance;Nomadico,detroit-techno,angry,0.808,137.99,0.174,0.655,0.0
738,Lardossen Funk,Drexciya,detroit-techno,intense,0.88,129.92,0.359,0.803,0.0
739,Ocean To Ocean - Instrumental,Model 500,detroit-techno,intense,0.705,124.75,0.399,0.676,0.0126
740,Soul Filter (The Dancer),Jeff Mills;Rafael Leafar,detroit-techno,energetic,0.85,119.55,0.538,0.8,0.017
741,Back Together Again - Reese Radio Mix,Inner City;Kevin Saunderson,detroit-techno,energetic,0.883,120.22,0.419,0.584,0.0004
742,Good Life - Pig & Dan Unreleased Less Is More Vocal Extended Remix,Kevin Saunderson;Inner City;Pig&Dan,detroit-techno,angry,0.756,125.99,0.106,0.747,0.0001
743,Flying Machines,Jeff Mills,detroit-techno,intense,0.955,122.87,0.372,0.498,0.0011
744,Sky,Aaron Carl,detroit-techno,happy,0.602,120.01,0.666,0.848,0.0041
745,Mirror Man - Mixed,Robert Hood,detroit-techno,angry,0.806,130.61,0.255,0.719,0.0045
746,Sleep Cycle,Robert Hood,detroit-techno,energetic,0.73,134.58,0.562,0.72,0.142
747,Space Rider - Original Mix,Basic Bastard,detroit-techno,happy,0.781,135.25,0.63,0.676,0.0006
748,New Life - Album Vocal Version,Octave One;Afrika Pratt-Ansa,detroit-techno,happy,0.627,125.0,0.931,0.826,0.0013
749,Come On Now Baby,K-Hand,detroit-techno,happy,0.896,128.98,0.616,0.615,0.0494
750,Starlight - The Mike Huckaby S Y N T H Mix,Model 500,detroit-techno,intense,0.653,121.99,0.152,0.671,0.542
751,Girls - Radio Edit,Lifelike;Lawrens,disco,euphoric,0.87,119.96,0.899,0.667,0.0029
752,Walking On Water (feat. Totally Enormous Extinct Dinosaurs),The Knocks;Totally Enormous Extinct Dinosaurs,disco,intense,0.613,124.96,0.218,0.768,0.399
753,September,"Earth, Wind & Fire",disco,euphoric,0.832,125.93,0.979,0.697,0.168
754,It's a Heartache,Bonnie Tyler,disco,energetic,0.672,118.9,0.519,0.53,0.0458
755,Heaven Must Be Missing An Angel - Pt. 1,Tavares,disco,euphoric,0.711,117.16,0.889,0.589,0.0018
756,What's Love Got to Do with It,Tina Turner,disco,romantic,0.406,97.84,0.792,0.851,0.219
757,Pietro Lombaaadi,Tim Toupet;Lorenz Büffel,disco,euphoric,0.885,140.05,0.735,0.704,0.018
758,Duel,Tim Green;Sébastien Léger,disco,energetic,0.743,124.0,0.573,0.748,0.018
759,Kobiety nie zrozumiesz - Radio Edit,Quest,disco,euphoric,0.932,140.03,0.969,0.752,0.0518
760,Victims,Culture Club,disco,melancholic,0.312,126.75,0.371,0.428,0.431
761,Mydełko Fa 2017,Boys;Shazza,disco,euphoric,0.931,134.96,0.945,0.742,0.0071
762,More Bounce to the Ounce,Zapp,disco,euphoric,0.818,105.27,0.84,0.85,0.124
763,Venus,Bananarama,disco,euphoric,0.961,126.11,0.91,0.722,0.0883
764,Montreal,Roosevelt,disco,happy,0.642,115.97,0.838,0.669,0.0022
765,Jekyll & Hyde,Die Paldauer,disco,euphoric,0.903,124.0,0.845,0.724,0.0251
766,To Love Somebody,Bee Gees,disco,focused,0.384,90.43,0.521,0.423,0.729
767,Smooth Sailin' Tonight - Single Version; Remastered,The Isley Brothers,disco,focused,0.41,76.29,0.528,0.663,0.282
768,Unsere Stadt,Franziska,disco,happy,0.858,127.92,0.669,0.698,0.12
769,Ride Like the Wind,Christopher Cross,disco,euphoric,0.707,124.33,0.806,0.669,0.347
770,Zatańcz ze mną,Jagoda & Brylant,disco,euphoric,0.868,142.04,0.817,0.627,0.127
771,Don't Take Me Home,Ikke Hüftgold,disco,energetic,0.93,139.91,0.468,0.588,0.219
772,Schifoan,Lorenz Büffel,disco,euphoric,0.998,130.96,0.97,0.725,0.0406
773,What's Good for the Goose,Carl Douglas,disco,happy,0.565,92.47,0.821,0.825,0.231
774,Karma Chameleon - Remastered 2002,Culture Club,disco,euphoric,0.73,92.05,0.894,0.668,0.225
775,Tell You,Nhan Solo,disco,angry,0.751,118.0,0.23,0.901,0.0177
776,Winter Melody,Donna Summer,disco,intense,0.78,105.86,0.375,0.573,0.0571
777,Ich bin morgens immer müde,Peter Wackel,disco,euphoric,0.983,134.04,0.822,0.67,0.0067
778,Das Wandern ist des Müllers Lust,Nik P.;Giraffenaffen,disco,happy,0.689,121.91,0.929,0.733,0.613
779,Sie vergaß zu verzeihn,Christian Lais,disco,euphoric,0.773,121.01,0.741,0.617,0.0385
780,Das Geht Mir Alles So Am Arsch Vorbei - Single Edit,Marco Kloss,disco,euphoric,0.749,132.03,0.91,0.767,0.0111
781,"Ponyo on the Cliff By the Sea (from ""Ponyo on the Cliff By the Sea"")",David Healer,disney,romantic,0.289,116.01,0.63,0.641,0.985
782,One Sweet Ride - Without Dialogue,Tokyo Disneyland,disney,euphoric,0.89,155.11,0.888,0.579,0.0028
783,Już ty wiesz co,Magdalena Wasylik,disney,melancholic,0.126,88.91,0.151,0.313,0.869
784,Bang! Goes Old Betsy,George Bruns,disney,romantic,0.436,169.5,0.964,0.615,0.504
785,Jasmin begegnet Prinz Anders,Alan Menken,disney,melancholic,0.0613,80.4,0.107,0.257,0.946
786,Love Story (You and Me),Randy Newman,disney,melancholic,0.14,89.09,0.155,0.277,0.932
787,La tour de Bruno,Germaine Franco,disney,melancholic,0.0614,147.87,0.0329,0.162,0.776
788,En helt ny verden,Jannicke Kruse;Trond Teigen,disney,melancholic,0.268,85.73,0.226,0.244,0.75
789,Rumor Has It / Hangman's Tree,Oliver Wallace,disney,melancholic,0.0927,86.62,0.28,0.424,0.645
790,Mousugu Ningenda - Japanese Version,Atom Kobayashi;Tansou Tatsumine;Honoka Suzuki;Terence Blanchard,disney,focused,0.484,106.92,0.516,0.683,0.298
791,Warmth,Cameron's Bedtime Classics,disney,chill,0.0934,99.91,0.508,0.671,0.978
792,Un Poco Loco,Luis Ángel Gómez Jaramillo;Gael Garcia Bernal,disney,focused,0.504,127.44,0.57,0.629,0.715
793,Ma Belle Evangeline,Jim Cummings;Terence Blanchard,disney,melancholic,0.352,139.49,0.306,0.378,0.812
794,A Whole New World - Remastered 2022,Brad Kane;Lea Salonga;Disney,disney,melancholic,0.227,129.27,0.142,0.273,0.848
795,One Jump Ahead - Japanese Version,Kazutaka Ishii,disney,romantic,0.379,122.93,0.653,0.555,0.546
796,I Can't Let You Throw Yourself Away,Randy Newman,disney,euphoric,0.742,106.23,0.897,0.642,0.439
797,"The Virginia Company (Reprise) - From ""Pocahontas""/Soundtrack Version",Chorus - Pocahontas;Mel Gibson,disney,chill,0.212,181.8,0.597,0.4,0.776
798,Clubhouse Birthday Party,Mickey Mouse;Goofy,disney,happy,0.612,99.94,0.942,0.595,0.295
799,Breathe,Cameron's Bedtime Classics,disney,melancholic,0.0708,113.96,0.27,0.861,0.991
800,Let It Snow! Let It Snow! Let It Snow!,Donald Duck;Daisy Duck,disney,happy,0.617,74.95,0.621,0.588,0.395
801,The Bells Of Notre Dame (Reprise),Paul Kandel;Chorus - The Hunchback Of Notre Dame,disney,focused,0.414,137.62,0.268,0.275,0.695
802,Dodo,Laus Høybye;Krummerne,disney,happy,0.577,130.81,0.889,0.756,0.0071
803,How Far I'll Go,Billboard Baby Lullabies,disney,melancholic,0.15,162.74,0.0592,0.383,0.981
804,A Spork in the Road,Randy Newman,disney,melancholic,0.0056,90.11,0.15,0.406,0.986
805,"Watch the Birdie/Visitors - From ""Lady and the Tramp""/Score",Oliver Wallace,disney,chill,0.0685,133.48,0.433,0.481,0.987
806,Kingfish - 2002 Remaster,Randy Newman,disney,focused,0.411,93.99,0.348,0.393,0.745
807,Vær Beredt,Even Stormoen,disney,intense,0.72,121.85,0.385,0.688,0.193
808,"Why Grumpy, You Do Care",Frank Churchill;Leigh Harline;Larry Morey,disney,melancholic,0.0768,101.72,0.242,0.324,0.946
809,When You Wish Upon a Star (From 'Pinocchio'),The Harp and the Piano,disney,chill,0.0074,131.81,0.526,0.744,0.995
810,The King of Broadway,Nathan Lane;The Producers Ensemble,disney,focused,0.415,156.98,0.564,0.506,0.838
811,Griffins,BCee;Gramma Funk,drum-and-bass,energetic,0.909,173.99,0.401,0.528,0.0038
812,Division,Kanine,drum-and-bass,angry,0.93,175.0,0.182,0.372,0.0009
813,Like It Hard,Wilkinson,drum-and-bass,energetic,0.915,174.05,0.438,0.645,0.0007
814,Etude,NERO,drum-and-bass,angry,0.703,123.02,0.155,0.605,0.0038
815,Spiritual Value,Villem;Mcleod,drum-and-bass,angry,0.894,170.05,0.102,0.652,0.0004
816,I Need To Feel,Friction;Poppy Baskcomb,drum-and-bass,angry,0.918,173.87,0.0385,0.492,0.0089
817,Afterglow,Wilkinson;Becky Hill,drum-and-bass,angry,0.915,174.03,0.0398,0.516,0.0228
818,Mr. Nobody,S.P.Y,drum-and-bass,intense,0.978,170.03,0.392,0.397,0.0006
819,Never Enough,Lenzman;F. Orren,drum-and-bass,angry,0.957,173.99,0.214,0.582,0.0005
820,Impossible To Say - Etherwood Remix,London Elektricity;Pete Simpson;Etherwood,drum-and-bass,angry,0.913,174.0,0.0878,0.543,0.0012
821,Quasar,Teddy Killerz,drum-and-bass,angry,0.933,172.0,0.141,0.536,0.0001
822,Hold On,Netsky;Becky Hill,drum-and-bass,intense,0.686,85.97,0.147,0.566,0.0103
823,Feel Alive,Grafix;Lauren L'aimant,drum-and-bass,intense,0.992,174.03,0.331,0.378,0.0047
824,All I Know - Seven Lions Mix,Matrix & Futurebound;Luke Bingham,drum-and-bass,angry,0.896,140.1,0.196,0.552,0.0364
825,Wickedest Man,Chase & Status;Riko,drum-and-bass,happy,0.57,117.88,0.869,0.674,0.0965
826,Slam,Pendulum,drum-and-bass,angry,0.982,174.0,0.3,0.428,0.0
827,The Fountain (feat. Steven Wilson),Pendulum;Steven Wilson,drum-and-bass,angry,0.957,173.99,0.222,0.371,0.0026
828,Oslo,Logistics,drum-and-bass,angry,0.76,86.98,0.0348,0.273,0.0071
